TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Abf1,76,Crc1,-0.983594724,64.54786507,-0.650304575,49.42819153,6.012297474
Abf1,51,Met13,-2.828632016,1936.435952,11.31821241,85.92342766,10.91918807
Abf1,81,Gpp1,-1.555558502,4789.451588,25.70615421,65.98031948,12.22564476
Ace2,48,Wtm1,0.127421743,956.556397,12.74442566,-9.233982286,9.90170622
Ace2,31,YKL044W,-0.132741939,231.2553927,1.140959198,8.790369841,7.853343198
Ace2,77,Hog1,-0.347243019,1944.64762,1.088299927,21.39151334,10.92529304
Ace2,44,Amn1,-0.140000237,6349.01169,44.62403776,9.248099361,12.63231632
Ace2,40,Rsm7,-0.200378376,63.06965255,-1.13432029,12.9677726,5.97887408
Ace2,73,Cap1,0.128372031,620.1849167,7.484761825,-9.305957253,9.276554629
Ace2,37,Pcl2,-0.088858044,1829.019924,25.12393495,5.973328296,10.83685508
Ace2,94,Dse1,-0.27022814,6443.616169,49.47594345,17.08115881,12.65365484
Ace2,45,EXG1,-0.060013489,914.5099619,0.387246481,4.074484933,9.836855075
Ace2,92,Dse2,-0.129324377,7253.010043,45.96029255,8.574049675,12.82436413
Adr1,87,Hxk1,-0.496299194,73.77396886,-0.978244136,29.1077018,6.205039946
Adr1,86,Hxt7,-0.539391805,73.77396886,-0.925957365,31.1939087,6.205039946
Adr1,72,Gph1,0.496291171,73.77396886,-0.84513832,-41.05826213,6.205039946
Adr1,56,Bdh2,-0.218634837,172.1392607,0.122469832,14.06217536,7.427432367
Adr1,62,Snf11,-0.052552106,0,-1.691964841,3.577088788,#NAME?
Adr1,32,Gsy2,-0.044044896,73.77396886,-0.188248274,3.006827425,6.205039946
Adr1,69,Spi1,-0.047664063,147.5479377,-0.219593545,3.24984104,7.205039946
Adr1,88,Usv1,0.170704511,147.5479377,-0.17719693,-12.56080186,7.205039946
Cbf1,51,Met13,-0.346246458,4643.770032,23.42165416,21.33719472,12.18108081
Cbf1,73,Cap1,-0.222652956,4251.951935,28.57498157,14.30119195,12.05390957
Cbf1,70,Rho3,-1.059897054,1857.508013,11.61732746,52.03337141,10.85915272
Cbf1,63,Ies5,-0.59531897,5630.571164,23.26569747,33.8101902,12.45906556
Crz1,36,Ald6,-0.368092661,294.7238965,1.567998554,22.51938346,8.20322023
Crz1,66,Cip1,-4.299933447,43.66279948,-1.466641884,94.92318833,5.448332728
Crz1,48,Wtm1,-0.238974987,87.32559895,-0.993207861,15.26528741,6.448332728
Crz1,57,YKL044W,-0.32884403,1113.401387,12.57501516,20.38258312,10.12075807
Crz1,31,YKL044W,-1.264793686,1702.84918,20.33405866,58.38411237,10.73373495
Crz1,75,YGR122W,0.215714455,185.5668978,0.216295125,-16.12788635,7.535795569
Crz1,62,Snf11,-0.860852505,316.5552962,2.079627404,44.93729101,8.306313723
Cup9,43,Rsb1,-0.05866894,756.8489093,6.209897728,3.985043563,9.563861512
Cup9,33,Cip1,0.3441198,172.0111157,0.090132183,-26.9376289,7.426357988
Cup9,90,Cup9,-0.278070144,481.6311241,3.456558981,17.53065493,8.911784815
Cup9,34,Faa1,-0.198173906,332.5548238,1.781577054,12.83468378,8.377448387
Cup9,52,Bap3,-0.158251658,378.4244546,2.453901151,10.38896279,8.563861512
Cup9,57,YKL044W,0.132480091,366.9570469,0.262679166,-9.617648485,8.519467392
Dot6,45,EXG1,-0.05044842,398.2491013,0.004261466,3.436385798,8.637527296
Dot6,89,YBL029C-A,-0.118258848,398.2491013,2.887501726,7.870112772,8.637527296
Dot6,34,Faa1,0.090596651,125.7628741,-0.391693675,-6.481046166,6.974562283
Dot6,30,Icy1,-0.006181786,62.88143705,-1.069876051,0.42757204,5.974562283
Dot6,54,Sed1,-0.036586105,167.6838321,0.057930623,2.50407033,7.389599783
Dot6,33,Cip1,-0.28437351,167.6838321,0.033245977,17.89019071,7.389599783
Dot6,41,Ecm13,0.052286688,314.4071853,1.882424933,-3.690713167,8.296490378
Fkh1,45,EXG1,0.029569071,2784.736786,0.577901498,-2.070719764,11.44332525
Fkh1,94,Dse1,-1.352764265,3145.834523,14.29793227,60.84588796,11.61922707
Fkh1,44,Amn1,-0.340775628,1811.608986,10.18240793,21.03833195,10.82305589
Fkh1,47,Sim1,-0.121041413,556.9473573,2.746870496,8.047634957,9.12139716
Fkh1,92,Dse2,-0.959382583,6132.54123,21.40462508,48.57230433,12.58226931
Fkh1,83,Idi1,-0.250151201,4828.917196,24.68765955,15.919171,12.23748401
Fkh2,92,Dse2,-0.385011269,3379.886793,15.74290529,23.42269832,11.72275921
Fkh2,83,Idi1,0.013104744,1440.292667,7.719710548,-0.912489683,10.49214628
Fkh2,45,EXG1,0.083950844,4762.567754,4.097641963,-5.991666874,12.2175239
Fkh2,94,Dse1,-0.747241036,2102.827295,19.79463081,40.42582535,11.03811465
Fkh2,44,Amn1,-0.144315947,2150.83705,18.22723296,9.519170963,11.07068251
Fkh2,82,Wsc4,-0.040973829,902.5834049,3.57379128,2.800137953,9.817916443
Fkh2,91,Oca5,-0.317144099,902.5834049,3.57379128,19.73427862,9.817916443
Gln3,75,YGR122W,-1.07773625,1038.370874,7.249859819,52.62283587,10.02010611
Gln3,72,Gph1,-0.030148711,83.73958663,-0.255158843,2.068065439,6.387837891
Gln3,80,Gap1,0.144062,485.6896025,2.741109693,-10.50119717,8.923890792
Gln3,60,Asn1,-1.518153793,18188.23822,51.09287409,65.08675869,14.15071818
Gln3,58,Frs2,-0.333798785,11505.8192,38.4645052,20.65555017,13.49007609
Gln3,59,Gdh1,-0.846231717,6079.49399,45.6041409,44.37642862,12.56973553
Gzf3,82,Wsc4,-0.045315465,1238.455876,3.920232314,3.092210845,10.27432675
Gzf3,90,Cup9,-0.012887239,346.0391419,1.277972733,0.889297474,8.434791426
Gzf3,59,Gdh1,-0.206885085,2385.84882,15.22561809,13.35941345,11.22028691
Gzf3,64,Gpa1,-0.337553143,983.4796664,2.983173017,20.86176158,9.941751415
Gzf3,54,Sed1,0.080696876,1757.514589,12.87713678,-5.752874374,10.77932095
