TF,Lib_number,Promoter_name,Lib_FC,Genomic_binding_sum,Genomic_lib_z,Lib_occup,Genomic_binding_log2
Abf1,76,Crc1,-0.983594724,3911.09464,8.823619251,49.42819153,11.93335673
Abf1,51,Met13,-2.828632016,9440.210464,20.48792421,85.92342766,13.20460331
Abf1,81,Gpp1,-1.555558502,3314.558566,8.364694231,65.98031948,11.69460103
Aca1,29,Icy1,0.124139965,1309.989012,7.327042266,-8.985784148,10.355339
Aca1,34,Faa1,-0.179059488,6150.604164,23.26545023,11.67213705,12.58651242
Aca1,49,Ahp1,-0.124647887,636.7682187,0.283357937,8.277212003,9.314624522
Aca1,56,Bdh2,-0.136408898,3027.72063,18.68258178,9.02190682,11.56401638
Ace2,48,Wtm1,0.127421743,14337.55758,19.08361145,-9.233982286,13.80751166
Ace2,31,YKL044W,-0.132741939,8725.838937,10.55219309,8.790369841,13.09107813
Ace2,77,Hog1,-0.347243019,19812.1728,2.498033204,21.39151334,14.27409949
Ace2,44,Amn1,-0.140000237,52504.87689,40.43056167,9.248099361,15.68016381
Ace2,40,Rsm7,-0.200378376,6347.130335,4.937822885,12.9677726,12.63188875
Ace2,73,Cap1,0.128372031,5317.280417,6.372378584,-9.305957253,12.37647284
Ace2,37,Pcl2,-0.088858044,14022.71864,24.3310156,5.973328296,13.77547846
Ace2,94,Dse1,-0.27022814,35919.05802,27.77729774,17.08115881,15.1324619
Ace2,45,EXG1,-0.060013489,8679.520177,1.035121868,4.074484933,13.08339957
Ace2,92,Dse2,-0.129324377,39286.22093,39.61338143,8.574049675,15.26173578
Adr1,87,Hxk1,-0.496299194,40154.34372,19.08437825,29.1077018,15.29326844
Adr1,86,Hxt7,-0.539391805,27006.99921,16.67183076,31.1939087,14.72104573
Adr1,72,Gph1,0.496291171,12756.68096,10.93551226,-41.05826213,13.6389654
Adr1,56,Bdh2,-0.218634837,11738.81111,18.56646593,14.06217536,13.51899868
Adr1,62,Snf11,-0.052552106,40945.49085,25.34676107,3.577088788,15.32141696
Adr1,32,Gsy2,-0.044044896,18643.84415,2.171352234,3.006827425,14.18641174
Adr1,69,Spi1,-0.047664063,10369.09933,5.548495187,3.24984104,13.34000297
Adr1,88,Usv1,0.170704511,16835.39774,14.48031827,-12.56080186,14.03921019
Cbf1,51,Met13,-0.346246458,13466.65449,36.7973481,21.33719472,13.71710387
Cbf1,73,Cap1,-0.222652956,5167.972536,11.86545329,14.30119195,12.33538269
Cbf1,70,Rho3,-1.059897054,5233.195649,12.56076529,52.03337141,12.35347648
Cbf1,63,Ies5,-0.59531897,7462.291449,16.50887001,33.8101902,12.86540299
Crz1,36,Ald6,-0.368092661,5529.595799,7.13887459,22.51938346,12.43295831
Crz1,66,Cip1,-4.299933447,11603.02204,15.16346724,94.92318833,13.50221299
Crz1,48,Wtm1,-0.238974987,9699.99004,9.679002346,15.26528741,13.24376755
Crz1,57,YKL044W,-0.32884403,14259.89814,21.44720027,20.38258312,13.79967606
Crz1,31,YKL044W,-1.264793686,11465.53416,17.20958096,58.38411237,13.48501595
Crz1,75,YGR122W,0.215714455,20865.90956,22.98663609,-16.12788635,14.34886019
Crz1,62,Snf11,-0.860852505,14038.60509,22.53142047,44.93729101,13.77711197
Cup9,43,Rsb1,-0.05866894,35888.33719,28.32096718,3.985043563,15.13122746
Cup9,33,Cip1,0.3441198,5085.023199,3.106311298,-26.9376289,12.31203864
Cup9,90,Cup9,-0.278070144,62185.56247,39.20592314,17.53065493,15.92429205
Cup9,34,Faa1,-0.198173906,7402.255946,5.730263116,12.83468378,12.8537493
Cup9,52,Bap3,-0.158251658,14365.00553,33.67156403,10.38896279,13.81027093
Cup9,57,YKL044W,0.132480091,6552.678734,3.726173123,-9.617648485,12.67786909
Dal80,90,Cup9,-0.005293714,3276.966305,28.00342103,0.366259907,11.67814512
Dal80,59,Gdh1,-0.276446958,9054.935318,46.21307151,17.43781588,13.14448862
Dal80,80,Gap1,0.157614541,13249.95478,26.93956888,-11.54412594,13.69369982
Dal80,91,Oca5,0.24886997,1149.268764,9.545790982,-18.82760009,10.16650051
Dal80,60,Asn1,-0.233149462,1923.645379,15.94189392,14.92244148,10.90962715
Dal80,70,Rho3,-0.164395207,2534.883633,9.756175665,10.76974964,11.3077038
Dal80,64,Gpa1,-0.204197768,1185.229211,9.890020867,13.1978771,10.21095037
Dal80,75,YGR122W,0.047274251,6772.715978,52.91170229,-3.331079788,12.72551878
Dal80,58,Frs2,0.33857485,13905.93797,31.29538606,-26.45068476,13.76341344
Dot6,45,EXG1,-0.05044842,7168.359289,1.311636662,3.436385798,12.80742723
Dot6,89,YBL029C-A,-0.118258848,5915.646297,13.61675718,7.870112772,12.53032008
Dot6,34,Faa1,0.090596651,5264.133802,10.87612017,-6.481046166,12.36198044
Dot6,30,Icy1,-0.006181786,3231.801372,7.441929931,0.42757204,11.65812282
Dot6,54,Sed1,-0.036586105,3032.895626,6.930410241,2.50407033,11.56648013
Dot6,33,Cip1,-0.28437351,6381.594511,14.41480149,17.89019071,12.63970123
Dot6,41,Ecm13,0.052286688,3548.73319,8.058110111,-3.690713167,11.79308839
Fkh1,45,EXG1,0.029569071,5014.13727,0.749961196,-2.070719764,12.29178578
Fkh1,94,Dse1,-1.352764265,30817.69412,33.20480866,60.84588796,14.9114713
Fkh1,44,Amn1,-0.340775628,7857.355498,19.62591113,21.03833195,12.93982812
Fkh1,47,Sim1,-0.121041413,1950.538643,3.060208549,8.047634957,10.92965687
Fkh1,92,Dse2,-0.959382583,19274.706,29.95908095,48.57230433,14.23442123
Fkh1,83,Idi1,-0.250151201,8423.17952,19.43485975,15.919171,13.0401492
Fkh2,92,Dse2,-0.385011269,9754.389197,16.34370539,23.42269832,13.25183582
Fkh2,83,Idi1,0.013104744,10864.824,7.882171609,-0.912489683,13.40737718
